QueryNumber;Result
1;[761, 843, 0]
1;[762, 844, 0]
1;[763, 845, 0]
1;[764, 846, 0]
1;[769, 847, 0]
1;[770, 848, 0]
1;[771, 849, 0]
1;[772, 850, 0]
1;[773, 851, 0]
1;[774, 852, 0]
1;[775, 853, 0]
1;[777, 854, 0]
1;[779, 855, 0]
1;[780, 856, 0]
1;[781, 857, 0]
1;[782, 858, 0]
1;[783, 859, 0]
1;[784, 860, 0]
1;[785, 861, 0]
1;[786, 862, 0]
1;[787, 863, 0]
1;[790, 864, 0]
1;[791, 865, 0]
1;[792, 866, 0]
1;[793, 867, 0]
1;[794, 868, 0]
1;[795, 869, 0]
1;[796, 870, 0]
1;[797, 871, 0]
1;[798, 872, 0]
1;[799, 873, 0]
1;[800, 874, 0]
1;[801, 875, 0]
1;[802, 876, 0]
1;[803, 877, 0]
1;[804, 878, 0]
1;[806, 879, 0]
1;[807, 880, 0]
1;[808, 881, 0]
1;[809, 882, 0]
1;[811, 883, 0]
1;[812, 884, 0]
1;[814, 885, 0]
1;[815, 886, 0]
1;[816, 887, 0]
1;[817, 888, 0]
1;[818, 889, 0]
1;[819, 890, 0]
1;[820, 891, 0]
1;[821, 892, 0]
1;[822, 893, 0]
1;[824, 894, 0]
1;[825, 895, 0]
1;[826, 896, 0]
1;[828, 897, 0]
1;[829, 898, 0]
1;[830, 899, 0]
1;[831, 900, 0]
1;[832, 901, 0]
1;[833, 902, 0]
1;[834, 903, 0]
1;[835, 904, 0]
1;[837, 905, 0]
1;[838, 906, 0]
1;[841, 907, 0]
1;[842, 908, 0]
1;[843, 909, 0]
1;[844, 910, 0]
1;[845, 911, 0]
1;[849, 912, 0]
1;[851, 913, 0]
1;[852, 914, 0]
1;[853, 915, 0]
1;[855, 916, 0]
1;[857, 917, 0]
1;[858, 918, 0]
1;[859, 919, 0]
1;[862, 920, 0]
1;[863, 921, 0]
1;[864, 922, 0]
1;[865, 923, 0]
1;[866, 924, 0]
1;[868, 925, 0]
1;[869, 926, 0]
1;[870, 927, 0]
1;[871, 928, 0]
1;[872, 929, 0]
1;[873, 930, 0]
1;[874, 931, 0]
1;[877, 932, 0]
1;[879, 933, 0]
1;[880, 934, 0]
1;[881, 935, 0]
1;[882, 936, 0]
1;[883, 937, 0]
1;[884, 938, 0]
1;[885, 939, 0]
1;[886, 940, 0]
1;[887, 941, 0]
1;[888, 942, 0]
1;[889, 943, 0]
1;[890, 944, 0]
1;[891, 945, 0]
1;[893, 946, 0]
1;[895, 947, 0]
1;[896, 948, 0]
1;[898, 949, 0]
1;[899, 950, 0]
1;[900, 951, 0]
1;[901, 952, 0]
1;[902, 953, 0]
1;[904, 954, 0]
1;[905, 955, 0]
1;[906, 956, 0]
1;[907, 957, 0]
1;[908, 958, 0]
1;[910, 959, 0]
1;[911, 960, 0]
1;[912, 961, 0]
1;[913, 962, 0]
1;[915, 963, 0]
1;[916, 964, 0]
1;[917, 965, 0]
1;[918, 966, 0]
1;[919, 967, 0]
1;[920, 968, 0]
1;[921, 969, 0]
1;[922, 970, 0]
1;[923, 971, 0]
1;[924, 972, 0]
1;[926, 973, 0]
1;[927, 974, 0]
1;[928, 975, 0]
1;[929, 976, 0]
1;[930, 977, 0]
1;[931, 978, 0]
1;[933, 979, 0]
1;[934, 980, 0]
1;[935, 981, 0]
1;[936, 982, 0]
1;[937, 983, 0]
1;[938, 984, 0]
1;[940, 985, 0]
1;[941, 986, 0]
1;[942, 987, 0]
1;[944, 988, 0]
1;[945, 989, 0]
1;[946, 990, 0]
1;[947, 991, 0]
1;[948, 992, 0]
1;[949, 993, 0]
1;[951, 994, 0]
1;[952, 995, 0]
1;[953, 996, 0]
1;[954, 997, 0]
1;[955, 998, 0]
1;[956, 999, 0]
1;[959, 1000, 0]
1;[961, 1001, 0]
1;[963, 1002, 0]
1;[964, 1003, 0]
1;[965, 1004, 0]
1;[966, 1005, 0]
1;[968, 1006, 0]
1;[971, 1007, 0]
1;[972, 1008, 0]
1;[974, 1009, 0]
1;[976, 1010, 0]
1;[977, 1011, 0]
1;[978, 1012, 0]
1;[979, 1013, 0]
1;[981, 1014, 0]
1;[983, 1015, 0]
1;[984, 1016, 0]
1;[985, 1017, 0]
1;[986, 1018, 0]
