QueryNumber;QueryText
87;ROLE FUNGI PATHOGENESIS LUNG DISEASE PATIENTS
88;ROLE VIRAL INFECTION LUNG DISEASE PATIENTS
89;EPIDEMIOLOGY PSEUDOMONAS AERUGINOSA PATIENTS PATIENTS SPREAD PSEUDOMONAS AERUGINOSA PATIENTS INDIVIDUALS FAMILY
90;FACTORS RESPONSIBLE APPEARANCE MUCOID STRAINS PSEUDOMONAS AERUGINOSA PATIENTS
91;UNUSUAL MANIFESTATIONS LUNG DISEASE EXOCRINE PANCREATIC INSUFFICIENCY
92;PROGNOSIS SURVIVAL PATIENTS
94;ANIMAL MODELS RELEVANT
95;ABNORMALITIES SKELETAL MUSCLE FUNCTION STRUCTURE PATIENTS
96;INCREASED INCIDENCE DENTAL PROBLEMS CARIES PERIODONTAL DISEASE PATIENTS
97;OXYGEN TRANSPORT BLOOD CELLS ABNORMAL PATIENTS
98;EFFECTS DEVELOPMENT FUNCTION BRAIN CENTRAL NERVOUS
99;ABNORMALITIES TASTE PATIENTS
100;INCIDENCE TREATMENT HYPERTROPHIC OSTEOARTHROPATHY PATIENTS
